,usdrub,gold,cb_key_rate,fed_rate,imoex_open,imoex_close,ru_cpi,us_cpi,workday,first_workday,second_workday,imoex_vol,ru_monetary,us_monetary
12.08.2015,63.2098,2262.39,11.0,0.25,1697.9,1697.65,100.35,100.00042010981672,workday,0,0,-0.25,6.800000000000068,0.2449586821994103
13.08.2015,65.0169,2334.49,11.0,0.25,1697.59,1704.11,100.35,100.00042010981672,workday,0,0,6.519999999999982,6.800000000000068,0.2449586821994103
14.08.2015,63.9988,2299.07,11.0,0.25,1704.14,1712.47,100.35,100.00042010981672,workday,0,0,8.329999999999927,6.800000000000068,0.2449586821994103
17.08.2015,63.9988,2299.07,11.0,0.25,1712.48,1707.95,100.35,100.00042010981672,workday,1,0,-4.529999999999973,6.800000000000068,0.2449586821994103
18.08.2015,65.5034,2353.01,11.0,0.25,1707.95,1691.24,100.35,100.00042010981672,workday,0,1,-16.710000000000036,6.800000000000068,0.2449586821994103
19.08.2015,65.8289,2368.62,11.0,0.25,1691.29,1673.86,100.35,100.00042010981672,workday,0,0,-17.430000000000064,6.800000000000068,0.2449586821994103
20.08.2015,65.7222,2373.34,11.0,0.25,1673.96,1695.57,100.35,100.00042010981672,workday,0,0,21.6099999999999,6.800000000000068,0.2449586821994103
21.08.2015,66.9608,2449.82,11.0,0.25,1695.48,1663.31,100.35,100.00042010981672,workday,0,0,-32.17000000000007,6.800000000000068,0.2449586821994103
24.08.2015,66.9608,2449.82,11.0,0.25,1659.31,1634.14,100.35,100.00042010981672,workday,1,0,-25.169999999999845,6.800000000000068,0.2449586821994103
25.08.2015,70.7465,2623.69,11.0,0.25,1634.35,1658.13,100.35,100.00042010981672,workday,0,1,23.7800000000002,6.800000000000068,0.2449586821994103
26.08.2015,69.9461,2595.7,11.0,0.25,1658.32,1660.95,100.35,100.00042010981672,workday,0,0,2.630000000000109,6.800000000000068,0.2449586821994103
27.08.2015,69.3142,2528.01,11.0,0.25,1661.0,1695.22,100.35,100.00042010981672,workday,0,0,34.22000000000003,6.800000000000068,0.2449586821994103
28.08.2015,67.4473,2447.13,11.0,0.25,1695.23,1719.16,100.35,100.00042010981672,workday,0,0,23.930000000000064,6.800000000000068,0.2449586821994103
